Use Case Type,Packet Loss Budget,Latency Budget (ns),Jitter Budget (ns),Data Rate Budget (Gbps),Required Mobility,Required Connectivity,Slice Available Transfer Rate (Gbps),Slice Latency (ns),Slice Packet Loss,Slice Jitter (ns),Slice Type,Slice Handover,latency_margin,loss_margin,jitter_margin,stress_ratio,sla_met
Motion control,,1000,1000000,0,no,no,3666.954573132446,1605231.2044553105,0.0004235511201962,1215585.471610125,ERLLC,yes,-1604231.2044553105,,-215585.47161012492,inf,0
Smart City,0.0,0,0,0,no,yes,4513.327889155853,1342635.550778835,0.0004989734617149,2812229.169688584,umMTC,no,-1342635.550778835,-0.0004989734617149,-2812229.169688584,inf,0
Delivery drones,,1000000,0,0,yes,no,7693.210953888707,1494868.6997871422,0.000642686934535,2355664.793137508,MBRLLC,yes,-494868.6997871422,,-2355664.793137508,inf,0
Remote health monitoring,,1000000,0,0,no,yes,4062.3647181879655,2184674.589160816,0.0004001971955557,1433149.2185326044,mURLLC,yes,-1184674.5891608158,,-1433149.2185326044,inf,0
Motion control,,1000,1000000,0,no,no,4724.311566379747,2538737.8852872886,0.0005370417567349,1471610.7395095462,ERLLC,yes,-2537737.8852872886,,-471610.7395095462,inf,0
Smart Home,0.0,0,0,0,no,yes,4631.531357863588,3436612.05353475,0.0005325030554135,1596123.9197498446,umMTC,no,-3436612.05353475,-0.0005325030554135,-1596123.9197498446,inf,0
Motion control,,1000,1000000,0,no,no,5613.584147384667,2384944.464821757,0.0004959016336141,1403538.4612178332,ERLLC,yes,-2383944.464821757,,-403538.4612178332,inf,0
Delivery drones,,1000000,0,0,yes,no,4272.8286456038295,1214773.8163354143,0.0006438325086644,1811248.229376915,MBRLLC,yes,-214773.8163354143,,-1811248.229376915,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5295.233870579067,2827767.697720511,0.0005070177763826,1444138.6919036962,mURLLC,yes,-1827767.697720511,,-1444138.6919036962,inf,0
Smart City,0.0,0,0,0,no,yes,4310.040895063068,2324760.2487299982,0.0004765377986761,1838543.840884347,umMTC,no,-2324760.2487299982,-0.0004765377986761,-1838543.840884347,inf,0
Delivery drones,,1000000,0,0,yes,no,7191.132080769631,2019129.401975938,0.000491098052335,1123677.619347313,MBRLLC,yes,-1019129.4019759379,,-1123677.619347313,inf,0
Delivery drones,,1000000,0,0,yes,no,3856.8183388807497,2711539.366854052,0.0001469896666212,1955319.0630749536,MBRLLC,yes,-1711539.366854052,,-1955319.0630749536,inf,0
Smart Home,0.0,0,0,0,no,yes,6629.745133839928,3578636.1443127547,0.0004735221066069,2147184.350658853,umMTC,no,-3578636.1443127547,-0.0004735221066069,-2147184.350658853,inf,0
Servo motors,,100,1000,0,no,no,4025.371095436612,1874006.369052556,0.0003224736238303,1311607.3494355776,ERLLC,yes,-1873906.369052556,,-1310607.3494355776,inf,0
Remote health monitoring,,1000000,0,0,no,yes,3577.7317445867434,1444688.3271478787,0.0004655445726006,1526088.5502737144,mURLLC,yes,-444688.3271478787,,-1526088.5502737144,inf,0
VR/AR,,0,0,1000,no,no,3832.628887974545,2884953.583261182,0.0004960278156689,1873873.7836871468,feMBB,yes,-2884953.583261182,,-1873873.7836871468,3.8326288879745447,0
Delivery drones,,1000000,0,0,yes,no,2148.392360896582,3770874.891807758,0.0005764349808863,2577237.821372608,MBRLLC,yes,-2770874.891807758,,-2577237.821372608,inf,0
Servo motors,,100,1000,0,no,no,5731.424310899447,2096590.2541172877,0.0008356567052589,2758882.5306620896,ERLLC,yes,-2096490.2541172877,,-2757882.5306620896,inf,0
VR/AR,,0,0,1000,no,no,3060.7338134797465,2020608.559282202,0.0007241603998791,1932028.572215214,feMBB,yes,-2020608.559282202,,-1932028.572215214,3.0607338134797466,0
Remote health monitoring,,1000000,0,0,no,yes,4404.027107266922,2114745.3691343283,0.0004982355168568,2189105.319970382,mURLLC,yes,-1114745.3691343283,,-2189105.319970382,inf,0
3D/UHD Video,,0,0,1000,no,no,6269.742392398339,2299553.7803493566,0.0005931054868416,1902651.6045369045,feMBB,yes,-2299553.7803493566,,-1902651.6045369045,6.269742392398339,0
Servo motors,,100,1000,0,no,no,6215.966240794433,1061019.2907789606,0.000433254607629,2812221.702260937,ERLLC,yes,-1060919.2907789606,,-2811221.702260937,inf,0
V2X,,1000000,0,0,yes,no,2614.6404164905566,2203932.432935249,0.0005319381894009,3111020.908787864,MBRLLC,yes,-1203932.432935249,,-3111020.908787864,inf,0
3D/UHD Video,,0,0,1000,no,no,5518.020875954908,2182304.631621586,0.000535643050488,2541149.091649157,feMBB,yes,-2182304.631621586,,-2541149.091649157,5.518020875954908,0
Smart Home,0.0,0,0,0,no,yes,6901.1332215167085,2143953.2313577915,0.0003365906513519,2290385.2099876124,umMTC,no,-2143953.2313577915,-0.0003365906513519,-2290385.2099876124,inf,0
Motion control,,1000,1000000,0,no,no,3939.201290168592,2111336.9883175846,0.000423195561748,2294920.14177657,ERLLC,yes,-2110336.9883175846,,-1294920.1417765701,inf,0
Smart City,0.0,0,0,0,no,yes,5856.369951115048,2064185.400220124,0.0002170986429763,2088566.656585254,umMTC,no,-2064185.400220124,-0.0002170986429763,-2088566.656585254,inf,0
V2X,,1000000,0,0,yes,no,3095.2245369434004,599123.8842231818,0.000470759242222,1492253.9422940088,MBRLLC,yes,400876.11577681825,,-1492253.9422940088,inf,0
Smart Home,0.0,0,0,0,no,yes,5643.197312569444,1519304.6157609962,0.0004940126287734,1645288.7911726069,umMTC,no,-1519304.6157609962,-0.0004940126287734,-1645288.7911726069,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5219.263723655875,2570572.612185155,0.0004878417653969,2167987.229179676,mURLLC,yes,-1570572.612185155,,-2167987.229179676,inf,0
Smart Home,0.0,0,0,0,no,yes,6102.301401883116,2726966.2521191863,0.0003330870143093,1661333.9768373412,umMTC,no,-2726966.2521191863,-0.0003330870143093,-1661333.9768373412,inf,0
Motion control,,1000,1000000,0,no,no,5998.976953800027,1718091.085699444,0.0004866941425054,1097634.2190961433,ERLLC,yes,-1717091.085699444,,-97634.21909614326,inf,0
Remote health monitoring,,1000000,0,0,no,yes,2744.9195646830044,1362317.5446661485,0.0005270276522962,1865937.8316580893,mURLLC,yes,-362317.5446661485,,-1865937.8316580893,inf,0
V2X,,1000000,0,0,yes,no,5228.065975700197,2477977.36532668,0.0005769327789265,928074.685126499,MBRLLC,yes,-1477977.3653266798,,-928074.685126499,inf,0
Motion control,,1000,1000000,0,no,no,7421.780588182407,2181890.828423454,0.0005447461508544,3268339.575816185,ERLLC,yes,-2180890.828423454,,-2268339.575816185,inf,0
VR/AR,,0,0,1000,no,no,1358.6828484995808,1918620.83202208,0.0004478557538451,1622364.0737857537,feMBB,yes,-1918620.83202208,,-1622364.0737857537,1.3586828484995808,0
Smart City,0.0,0,0,0,no,yes,6611.882368751132,2574569.5964271706,0.0004763714183982,1981110.3677372376,umMTC,no,-2574569.5964271706,-0.0004763714183982,-1981110.3677372376,inf,0
V2X,,1000000,0,0,yes,no,7669.741548531874,1214184.272100286,0.0005426409781165,2795268.899341369,MBRLLC,yes,-214184.2721002861,,-2795268.899341369,inf,0
VR/AR,,0,0,1000,no,no,2526.354905112078,2773973.382998885,0.0004292529260263,3642339.0977700087,feMBB,yes,-2773973.382998885,,-3642339.0977700087,2.526354905112078,0
V2X,,1000000,0,0,yes,no,3882.779997932728,998646.477185308,0.0003578290658946,1871603.676857672,MBRLLC,yes,1353.522814691998,,-1871603.676857672,inf,0
Remote health monitoring,,1000000,0,0,no,yes,5863.319246030561,1449846.514330834,0.0004369462658404,1470055.2908864147,mURLLC,yes,-449846.5143308339,,-1470055.2908864147,inf,0
VR/AR,,0,0,1000,no,no,3523.772494496568,1306069.90833466,0.0005644787125436,2430193.219062615,feMBB,yes,-1306069.90833466,,-2430193.219062615,3.523772494496568,0
Smart City,0.0,0,0,0,no,yes,7274.571209544996,1611696.233964807,0.000620263735842,1972491.1461625183,umMTC,no,-1611696.233964807,-0.000620263735842,-1972491.1461625183,inf,0
Motion control,,1000,1000000,0,no,no,6765.150626882492,2204053.5400072928,0.000655344295865,1907093.9101498816,ERLLC,yes,-2203053.5400072928,,-907093.9101498816,inf,0
Delivery drones,,1000000,0,0,yes,no,2692.458761301393,2452282.974353549,0.000358659914766,2127751.094343272,MBRLLC,yes,-1452282.974353549,,-2127751.094343272,inf,0
Smart Home,0.0,0,0,0,no,yes,3762.193676464967,1945637.7666608451,0.0008208365483982,2293311.3078896785,umMTC,no,-1945637.7666608451,-0.0008208365483982,-2293311.3078896785,inf,0
3D/UHD Video,,0,0,1000,no,no,6283.433063588063,1148259.367577231,0.0003821708834119,3347964.2476722235,feMBB,yes,-1148259.367577231,,-3347964.2476722235,6.283433063588063,0
Smart City,0.0,0,0,0,no,yes,6218.143894678422,666340.2583649936,0.0004621491458816,1107177.1877244597,umMTC,no,-666340.2583649936,-0.0004621491458816,-1107177.1877244597,inf,0
VR/AR,,0,0,1000,no,no,8697.530318832514,2564248.457093166,0.0006983081976165,3288778.911095925,feMBB,yes,-2564248.457093166,,-3288778.911095925,8.697530318832515,0
Delivery drones,,1000000,0,0,yes,no,3534.1763046184387,2481723.5869246684,0.0002222406182323,1854893.7189235308,MBRLLC,yes,-1481723.5869246684,,-1854893.7189235308,inf,0
